sample,treatment,CD3,CD4,CD8,CD69,CD25,CD38
A,unstim,11.23,31.82,59.84,93.04,75.91,86.21
A,stim,79.14,8.12,61.79,94.67,17.46,77.52
B,unstim,19.21,51.47,85.05,45.3,30.57,7
B,stim,88.99,48.43,37.39,2.26,22.22,16.68
C,unstim,43.32,94.41,23.02,44.02,99.58,52.98
C,stim,11.52,71.28,84.13,19.94,82.96,4.28
D,unstim,50.47,9.23,40.25,51,4.49,65.38
D,stim,56.27,13.01,64.46,79.34,22.1,75.19
E,unstim,82.51,35.53,8.78,95.33,14.41,88.3
E,stim,70.81,12.78,85.11,35,9.19,71.93
F,unstim,22.94,84.47,69.84,43.86,72.64,54.47
F,stim,66.44,29.86,81.53,82.34,19.16,8.77
G,unstim,80.44,92.48,8.36,22.42,74.69,12.53
G,stim,1.48,19.94,56.05,82.35,2.63,82.07
H,unstim,97.69,13.53,85.93,89.29,94.82,36.28
H,stim,51.36,63.74,34.81,46.59,42.72,53.12
I,unstim,64.25,20.62,9.68,27.57,23.74,5.87
I,stim,81.36,34.05,96.39,46.9,35.31,10.87
